transcript,summary
group introduced project manager discussed goal project gave agenda project whole group practiced using meetingroom equipment drawing whiteboard project manager presented projected profit price point group discussed experience remote control complained remote got lost easily suggested using locator function also complained remote many button suggested incorporating screen simplify interface retain function also suggested making remote waterresistant including clip project manager instructed industrial designer research working design component user interface designer research technical function marketing expert research user requirement industrial designer research working design component user interface designer research technical function marketing expert research user requirement na na,group introduced project manager discussed goal project gave agenda project whole group practiced using meetingroom equipment drawing whiteboard project manager presented projected profit price point group discussed experience remote control complained remote got lost easily suggested using locator function also complained remote many button suggested incorporating screen simplify interface retain function also suggested making remote waterresistant including clip project manager instructed industrial designer research working design component user interface designer research technical function marketing expert research user requirement industrial designer research working design component user interface designer research technical function marketing expert research user requirement na na
marketing expert gave presentation user requirement shown usability study demonstrated small number function remote used frequency suggested focusing interface design frequently used function user interface designer presented question considered making device userfriendly displayed two existing remote control comparison industrial designer discussed necessary internal component operated together presented preference type component used project manager gave group several new requirement project group discussed several product feature decided remote feature locator function feature speech recognition group discussed whether remote control multiple device discussed important button function include increasing usability incorporating scroll wheel design project manager instructed participant fill questionnaire work individual presentation next meeting participant fill questionnaire meeting designer marketing expert work individual presentation locator device separate remote incorporated design operate radio signal speech recognition used group decided target marketing group would mostly teenager young professional stand remote placed use group decided locator function eliminated need component locator function involve led indicator remote simply emit sound located main interface include power button main interface include scroll wheel function place number pad group member difficulty computer opening presentation new requirement management regarding use multiple device unclear,marketing expert gave presentation user requirement shown usability study demonstrated small number function remote used frequency suggested focusing interface design frequently used function user interface designer presented question considered making device userfriendly displayed two existing remote control comparison industrial designer discussed necessary internal component operated together presented preference type component used project manager gave group several new requirement project group discussed several product feature decided remote feature locator function feature speech recognition group discussed whether remote control multiple device discussed important button function include increasing usability incorporating scroll wheel design project manager instructed participant fill questionnaire work individual presentation next meeting participant fill questionnaire meeting designer marketing expert work individual presentation locator device separate remote incorporated design operate radio signal speech recognition used group decided target marketing group would mostly teenager young professional stand remote placed use group decided locator function eliminated need component locator function involve led indicator remote simply emit sound located main interface include power button main interface include scroll wheel function place number pad group member difficulty computer opening presentation new requirement management regarding use multiple device unclear  marketing expert gave presentation user requirement shown usability study demonstrated small number function remote used frequency suggested focusing interface design frequently used function user interface designer presented question considered making device userfriendly displayed two existing remote control comparison industrial designer discussed necessary internal component operated together presented preference type component used project manager gave group several new requirement project group discussed several product feature decided remote feature locator function feature speech recognition group discussed whether remote control multiple device discussed important button function include increasing usability incorporating scroll wheel design project manager instructed participant fill questionnaire work individual presentation next meeting participant fill questionnaire meeting designer marketing expert work individual presentation locator device separate remote incorporated design operate radio signal speech recognition used group decided target marketing group would mostly teenager young professional stand remote placed use group decided locator function eliminated need component locator function involve led indicator remote simply emit sound located main interface include power button main interface include scroll wheel function place number pad group member difficulty computer opening presentation new requirement management regarding use multiple device unclear marketing expert gave presentation user requirement shown usability study demonstrated small number function remote used frequency suggested focusing interface design frequently used function user interface designer presented question considered making device userfriendly displayed two existing remote control comparison industrial designer discussed necessary internal component operated together presented preference type component used project manager gave group several new requirement project group discussed several product feature decided remote feature locator function feature speech recognition group discussed whether remote control multiple device discussed important button function include increasing usability incorporating scroll wheel design project manager instructed participant fill questionnaire work individual presentation next meeting participant fill questionnaire meeting designer marketing expert work individual presentation locator device separate remote incorporated design operate radio signal speech recognition used group decided target marketing group would mostly teenager young professional stand remote placed use group decided locator function eliminated need component locator function involve led indicator remote simply emit sound located main interface include power button main interface include scroll wheel function place number pad group member difficulty computer opening presentation new requirement management regarding use multiple device unclear
project manager reviewed minute previous meeting industrial designer gave presentation component discussed would custommade standard also discussed various material chip available marketing expert presented current trend market fashion discussed current fruit vegetable trend trend toward softer spongier material user interface designer discussed look remote group discussed including touchbased graphical user interface noted unnecessary costly discussed using menu function television instead group discussed menu function would programmed group talked casing device decided would changeable outer casing discussed including fruit color addition company color part casing made spongy material group also discussed energy source option chip project manager instructed user interface designer industrial designer construct prototype marketing expert work prototype evaluation project manager instructed user interface designer industrial designer construct prototype user interface designer work interface industrial designer work look feel device marketing expert prepare prototype evaluation remote feature spongy material fruit vegetable trend incorporated design including fruit color along company color remote feature changeable outer casing group wanted include changeable outer casing could decide whether spongy hard plastic component removable casing lack information cost several component,project manager reviewed minute previous meeting industrial designer gave presentation component discussed would custommade standard also discussed various material chip available marketing expert presented current trend market fashion discussed current fruit vegetable trend trend toward softer spongier material user interface designer discussed look remote group discussed including touchbased graphical user interface noted unnecessary costly discussed using menu function television instead group discussed menu function would programmed group talked casing device decided would changeable outer casing discussed including fruit color addition company color part casing made spongy material group also discussed energy source option chip project manager instructed user interface designer industrial designer construct prototype marketing expert work prototype evaluation project manager instructed user interface designer industrial designer construct prototype user interface designer work interface industrial designer work look feel device marketing expert prepare prototype evaluation remote feature spongy material fruit vegetable trend incorporated design including fruit color along company color remote feature changeable outer casing group wanted include changeable outer casing could decide whether spongy hard plastic component removable casing lack information cost several component project manager reviewed minute previous meeting industrial designer gave presentation component discussed would custommade standard also discussed various material chip available marketing expert presented current trend market fashion discussed current fruit vegetable trend trend toward softer spongier material user interface designer discussed look remote group discussed including touchbased graphical user interface noted unnecessary costly discussed using menu function television instead group discussed menu function would programmed group talked casing device decided would changeable outer casing discussed including fruit color addition company color part casing made spongy material group also discussed energy source option chip project manager instructed user interface designer industrial designer construct prototype marketing expert work prototype evaluation project manager instructed user interface designer industrial designer construct prototype user interface designer work interface industrial designer work look feel device marketing expert prepare prototype evaluation remote feature spongy material fruit vegetable trend incorporated design including fruit color along company color remote feature changeable outer casing group wanted include changeable outer casing could decide whether spongy hard plastic component removable casing lack information cost several component  project manager reviewed minute previous meeting industrial designer gave presentation component discussed would custommade standard also discussed various material chip available marketing expert presented current trend market fashion discussed current fruit vegetable trend trend toward softer spongier material user interface designer discussed look remote group discussed including touchbased graphical user interface noted unnecessary costly discussed using menu function television instead group discussed menu function would programmed group talked casing device decided would changeable outer casing discussed including fruit color addition company color part casing made spongy material group also discussed energy source option chip project manager instructed user interface designer industrial designer construct prototype marketing expert work prototype evaluation project manager instructed user interface designer industrial designer construct prototype user interface designer work interface industrial designer work look feel device marketing expert prepare prototype evaluation remote feature spongy material fruit vegetable trend incorporated design including fruit color along company color remote feature changeable outer casing group wanted include changeable outer casing could decide whether spongy hard plastic component removable casing lack information cost several component
project manager reviewed minute last meeting user interface designer industrial designer presented prototype displayed changeable fruit vegetableshaped cover discussed locator function designed later time project manager discussed final production cost device totaled euro marketing expert led evaluation prototype participant rated prototype according original criterion project group discussed area prototype meet goal group felt changeable fruit vegetable shape uncomfortable hold group decided make changeable cover fruit color design use one uniform shape group discussed experience project felt worked well together creative complained meetingroom material difficult use complained enough information provided project manager instructed participant write final report end meeting participant write final report group decided fruit vegetable shape device uncomfortable hold decided produce device one uniform shape changeable cover fruit color design group decided final production cost initial goal met sufficiently able continue project group felt fruit vegetable shape remote uncomfortable hold complained meetingroom equipment difficult use participant complained enough information provided,project manager reviewed minute last meeting user interface designer industrial designer presented prototype displayed changeable fruit vegetableshaped cover discussed locator function designed later time project manager discussed final production cost device totaled euro marketing expert led evaluation prototype participant rated prototype according original criterion project group discussed area prototype meet goal group felt changeable fruit vegetable shape uncomfortable hold group decided make changeable cover fruit color design use one uniform shape group discussed experience project felt worked well together creative complained meetingroom material difficult use complained enough information provided project manager instructed participant write final report end meeting participant write final report group decided fruit vegetable shape device uncomfortable hold decided produce device one uniform shape changeable cover fruit color design group decided final production cost initial goal met sufficiently able continue project group felt fruit vegetable shape remote uncomfortable hold complained meetingroom equipment difficult use participant complained enough information provided   project manager reviewed minute last meeting user interface designer industrial designer presented prototype displayed changeable fruit vegetableshaped cover discussed locator function designed later time project manager discussed final production cost device totaled euro marketing expert led evaluation prototype participant rated prototype according original criterion project group discussed area prototype meet goal group felt changeable fruit vegetable shape uncomfortable hold group decided make changeable cover fruit color design use one uniform shape group discussed experience project felt worked well together creative complained meetingroom material difficult use complained enough information provided project manager instructed participant write final report end meeting participant write final report group decided fruit vegetable shape device uncomfortable hold decided produce device one uniform shape changeable cover fruit color design group decided final production cost initial goal met sufficiently able continue project group felt fruit vegetable shape remote uncomfortable hold complained meetingroom equipment difficult use participant complained enough information provided
project manager open meeting welcoming everybody saying developing new television remote control group member state hisher name role group project manager state remote need original trendy userfriendly work functional conceptual detailed design since know whiteboard virtual drawing stating favorite animal project manager tell project budget proceed discus problem current remote well preferable style look using faceplate look changable project manager close meeting product sold twenty five euro company profit fifty million euro overall production cost twelve euro fifty na,project manager open meeting welcoming everybody saying developing new television remote control group member state hisher name role group project manager state remote need original trendy userfriendly work functional conceptual detailed design since know whiteboard virtual drawing stating favorite animal project manager tell project budget proceed discus problem current remote well preferable style look using faceplate look changable project manager close meeting product sold twenty five euro company profit fifty million euro overall production cost twelve euro fifty na
project manager open meeting going note last meeting recapping topic covered tell new project requirement given management marketing expert present talking user functionality requirement taken research people discus possibility making remote hide less frequently used button one us voice recognition eliminate button altogether one combine two function interface specialist present showing example two different product one usercentered another engineeringcentered giving personal preference simpler one easier use fewer button next industrial designer present explaining remote control work giving personal preference remote large energy source rechargable battery battery dock group discusses using battery last year solar combined battery briefly review discussion close meeting teletext longer important given rise internet thus used remote television device incorporate company logo color remote extremely simple remote radiaclly different shape remote button main one channel volume onoff whether use voice recognition type battery use longlasting ordinary battery solar regular battery whether use changable cover,project manager open meeting going note last meeting recapping topic covered tell new project requirement given management marketing expert present talking user functionality requirement taken research people discus possibility making remote hide less frequently used button one us voice recognition eliminate button altogether one combine two function interface specialist present showing example two different product one usercentered another engineeringcentered giving personal preference simpler one easier use fewer button next industrial designer present explaining remote control work giving personal preference remote large energy source rechargable battery battery dock group discusses using battery last year solar combined battery briefly review discussion close meeting teletext longer important given rise internet thus used remote television device incorporate company logo color remote extremely simple remote radiaclly different shape remote button main one channel volume onoff whether use voice recognition type battery use longlasting ordinary battery solar regular battery whether use changable cover
project manager open meeting recapping discussion previous meeting telling group meeting agenda stating person next meeting industrial designer talk component design explains exactly remote operate also talk battery chip interface specialist present research internet user interface talk minimizing clutter remote suggests using slide button like mouse marketing expert present talking trendwatching fruit vegetable currently important theme talk making changable color available possibly including battery discus remote look like term shape color talk component material energy source close meeting marketing expert product evaulation interface designer looking look feel design industrial specialist looking user us product interface designer industrial specialist producing model product remote longterm battery source remote contain custom chip curved shape similar computer mouse narrower voice fewer button menu channel power volume button display screen used face plate cheap add voice option likely need design chip however custom design chip expensive would take longer using existing chip whether use changable face plate,project manager open meeting recapping discussion previous meeting telling group meeting agenda stating person next meeting industrial designer talk component design explains exactly remote operate also talk battery chip interface specialist present research internet user interface talk minimizing clutter remote suggests using slide button like mouse marketing expert present talking trendwatching fruit vegetable currently important theme talk making changable color available possibly including battery discus remote look like term shape color talk component material energy source close meeting marketing expert product evaulation interface designer looking look feel design industrial specialist looking user us product interface designer industrial specialist producing model product remote longterm battery source remote contain custom chip curved shape similar computer mouse narrower voice fewer button menu channel power volume button display screen used face plate cheap add voice option likely need design chip however custom design chip expensive would take longer using existing chip whether use changable face plate
project manager open meeting stating agenda industrial designer interface specialist present prototype showing placed button function company logo talk material chose light gray colored light weight plastic people want buy cover next take brief look finance examining material used chip required shape color exactly target twelve point five next marketing expert administers product evaluation group talk whether device flashy fashionable technologically innovative easy use suitable consumer complicated long would take learn use appeal age group come average evaluation briefly discus project process agree worked well together excellent teamwork created effective product meet budget cost close meeting thanking one another na remote made light weight plastic light gray color changeable color made ipod cover material rubbery spongy stretchy material remote volume slider channel button power key menu key infared section microphone voice command double curved shape group exactly budget including interchangable cover calcuated,
project manager opened meeting stating agenda introduced upcoming project team member team member participated exercise drew favorite animal discussed liked particular animal project manager briefed team production selling cost remote create project manager also briefed team profit aim discussed many remote must sold order reach profit aim million euro team discussed experience using remote control feature term functionality appearance consider making remote industrial designer work working design user interface designer work technical function design marketing expert work user requirement specification remote sold euro production cost exceed euro whether markup reflected selling price normal,project manager opened meeting stating agenda introduced upcoming project team member team member participated exercise drew favorite animal discussed liked particular animal project manager briefed team production selling cost remote create project manager also briefed team profit aim discussed many remote must sold order reach profit aim million euro team discussed experience using remote control feature term functionality appearance consider making remote industrial designer work working design user interface designer work technical function design marketing expert work user requirement specification remote sold euro production cost exceed euro whether markup reflected selling price normal
project manager opened meeting went minute previous meeting marketing expert discussed user preference term remote control increasing interest among younger consumer speech recognition marketing expert also discussed user target group remote addressed issue whether target group would result sufficient sale remote user interface designer presented two existing remote control market team later evaluated discussed feature term appearance functionality remote team creating include industrial designer discussed interior working remote addressed issue happens remote longer operate team also discussed option energy source solar power rechargeable internal battery th team discussed user target group marketing idea selling remote television manufacturer function remote would feature industrial designer work component user interface designer work user interface marketing expert work trend watching team work teletext remote television team must incorporate corporate image color slogan design remote user target group younger consumer remote function power channel volume remote enter button number button remote large button whether intended target group result sale least million remote much component inside remote cost whether use solar power cost rechargeable base whether younger consumer actually buying remote control combining power button enter button one button,project manager opened meeting went minute previous meeting marketing expert discussed user preference term remote control increasing interest among younger consumer speech recognition marketing expert also discussed user target group remote addressed issue whether target group would result sufficient sale remote user interface designer presented two existing remote control market team later evaluated discussed feature term appearance functionality remote team creating include industrial designer discussed interior working remote addressed issue happens remote longer operate team also discussed option energy source solar power rechargeable internal battery th team discussed user target group marketing idea selling remote television manufacturer function remote would feature industrial designer work component user interface designer work user interface marketing expert work trend watching team work teletext remote television team must incorporate corporate image color slogan design remote user target group younger consumer remote function power channel volume remote enter button number button remote large button whether intended target group result sale least million remote much component inside remote cost whether use solar power cost rechargeable base whether younger consumer actually buying remote control combining power button enter button one button project manager opened meeting went minute previous meeting marketing expert discussed user preference term remote control increasing interest among younger consumer speech recognition marketing expert also discussed user target group remote addressed issue whether target group would result sufficient sale remote user interface designer presented two existing remote control market team later evaluated discussed feature term appearance functionality remote team creating include industrial designer discussed interior working remote addressed issue happens remote longer operate team also discussed option energy source solar power rechargeable internal battery th team discussed user target group marketing idea selling remote television manufacturer function remote would feature industrial designer work component user interface designer work user interface marketing expert work trend watching team work teletext remote television team must incorporate corporate image color slogan design remote user target group younger consumer remote function power channel volume remote enter button number button remote large button whether intended target group result sale least million remote much component inside remote cost whether use solar power cost rechargeable base whether younger consumer actually buying remote control combining power button enter button one button
project manager opened meeting went minute previous meeting marketing expert presented finding trend watching report discussed personal preference incorporate result trend watching report appearance remote trend watching report indicated product need reflect fruit vegetable theme sponginess fanciness technological innovation team discussed target group whether use titanium spongy material design industrial designer discussed option energy source material case shape interface component button lcd screen user interface designer examined interface existing product discussed using menu within interface using push button operate like scroll wheel team discussed made decision energy source chip case material button use marketing expert work product evaluation industrial designer work look feel design user interface designer work user interface design two team member create prototype using modeling clay remote use kinetic battery case remote made rubber remote contain hard plastic inner shell protect interior remote use push button whether use titanium spongy material whether creating fancy remote would adhere project budget whether use kinetic battery,project manager opened meeting went minute previous meeting marketing expert presented finding trend watching report discussed personal preference incorporate result trend watching report appearance remote trend watching report indicated product need reflect fruit vegetable theme sponginess fanciness technological innovation team discussed target group whether use titanium spongy material design industrial designer discussed option energy source material case shape interface component button lcd screen user interface designer examined interface existing product discussed using menu within interface using push button operate like scroll wheel team discussed made decision energy source chip case material button use marketing expert work product evaluation industrial designer work look feel design user interface designer work user interface design two team member create prototype using modeling clay remote use kinetic battery case remote made rubber remote contain hard plastic inner shell protect interior remote use push button whether use titanium spongy material whether creating fancy remote would adhere project budget whether use kinetic battery
project manager opened meeting went minute previous meeting user interface designer industrial designer presented two prototype remote team working discussed option component material include design first prototype featured simple design small number button second prototype shaped like banana used scroll push button technology marketing expert led team conducting product evaluation prototype prototype evaluated basis fanciness technological innovation ease use trendiness marketability overall prototype performed quite well evaluation project manager examined production cost remote cost produce remote pound exceed project budget team conducted evaluation project process indicated quite happy tool available idea came teamwork team work final questionnaire team work meeting summary project manager work final report remote use kinetic battery remote use electronic simple chip print remote use push button remote case singlecurved remote special color remote made plastic button remote black button remote made plastic whether select banana shaped remote chunky remote whether create singlecurved doublecurved remote whether rubber plastic button,project manager opened meeting went minute previous meeting user interface designer industrial designer presented two prototype remote team working discussed option component material include design first prototype featured simple design small number button second prototype shaped like banana used scroll push button technology marketing expert led team conducting product evaluation prototype prototype evaluated basis fanciness technological innovation ease use trendiness marketability overall prototype performed quite well evaluation project manager examined production cost remote cost produce remote pound exceed project budget team conducted evaluation project process indicated quite happy tool available idea came teamwork team work final questionnaire team work meeting summary project manager work final report remote use kinetic battery remote use electronic simple chip print remote use push button remote case singlecurved remote special color remote made plastic button remote black button remote made plastic whether select banana shaped remote chunky remote whether create singlecurved doublecurved remote whether rubber plastic button
group introduced role project manager introduced project aim agenda group group acquainted meetingroom equipment drawing whiteboard project manager discussed projected production cost price point device group began discussion experience using remote control usability feature included design project manager instructed industrial designer prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time industrial deigner prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time instead allowing control multiple device na,group introduced role project manager introduced project aim agenda group group acquainted meetingroom equipment drawing whiteboard project manager discussed projected production cost price point device group began discussion experience using remote control usability feature included design project manager instructed industrial designer prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time industrial deigner prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time instead allowing control multiple device na group introduced role project manager introduced project aim agenda group group acquainted meetingroom equipment drawing whiteboard project manager discussed projected production cost price point device group began discussion experience using remote control usability feature included design project manager instructed industrial designer prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time industrial deigner prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time instead allowing control multiple device na  group introduced role project manager introduced project aim agenda group group acquainted meetingroom equipment drawing whiteboard project manager discussed projected production cost price point device group began discussion experience using remote control usability feature included design project manager instructed industrial designer prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time industrial deigner prepare working design user interface designer research technical function marketing expert prepare user requirement specification group discussed function prototype decided restrict remote television time instead allowing control multiple device na
project manager gave group new requirement product feature industrial designer gave presentation working design device presented necessary internal component operate together gave preference energy source sender user interface designer presented necessary function remote compared interface two existing remote group discussed making remote userfriendly proposed eliminating rarelyused button making easier skip channel marketing expert discussed user requirement group showed user wanted fancier less complicated remote would easily lost suggested incorporating menu lcd screen satisfy requirement group discussed incorporate locator function project manager reminded group limit number complicated feature due project time constraint group discussion decide product feature decided include clapping locator function device allows user enter two number separately get twodigit number complicated function hidden back panel participant continue working remote function remote feature locator function responds clapping device allows user enter two number separately get twodigit number order reduce overall number button remote feature panel hide complicated function back device button adjust picture quality channel tuning setting hidden panel number pad channel volumechanging power button remain main interface group difficulty finding balance adding feature finishing project quickly,project manager gave group new requirement product feature industrial designer gave presentation working design device presented necessary internal component operate together gave preference energy source sender user interface designer presented necessary function remote compared interface two existing remote group discussed making remote userfriendly proposed eliminating rarelyused button making easier skip channel marketing expert discussed user requirement group showed user wanted fancier less complicated remote would easily lost suggested incorporating menu lcd screen satisfy requirement group discussed incorporate locator function project manager reminded group limit number complicated feature due project time constraint group discussion decide product feature decided include clapping locator function device allows user enter two number separately get twodigit number complicated function hidden back panel participant continue working remote function remote feature locator function responds clapping device allows user enter two number separately get twodigit number order reduce overall number button remote feature panel hide complicated function back device button adjust picture quality channel tuning setting hidden panel number pad channel volumechanging power button remain main interface group difficulty finding balance adding feature finishing project quickly  project manager gave group new requirement product feature industrial designer gave presentation working design device presented necessary internal component operate together gave preference energy source sender user interface designer presented necessary function remote compared interface two existing remote group discussed making remote userfriendly proposed eliminating rarelyused button making easier skip channel marketing expert discussed user requirement group showed user wanted fancier less complicated remote would easily lost suggested incorporating menu lcd screen satisfy requirement group discussed incorporate locator function project manager reminded group limit number complicated feature due project time constraint group discussion decide product feature decided include clapping locator function device allows user enter two number separately get twodigit number complicated function hidden back panel participant continue working remote function remote feature locator function responds clapping device allows user enter two number separately get twodigit number order reduce overall number button remote feature panel hide complicated function back device button adjust picture quality channel tuning setting hidden panel number pad channel volumechanging power button remain main interface group difficulty finding balance adding feature finishing project quickly project manager gave group new requirement product feature industrial designer gave presentation working design device presented necessary internal component operate together gave preference energy source sender user interface designer presented necessary function remote compared interface two existing remote group discussed making remote userfriendly proposed eliminating rarelyused button making easier skip channel marketing expert discussed user requirement group showed user wanted fancier less complicated remote would easily lost suggested incorporating menu lcd screen satisfy requirement group discussed incorporate locator function project manager reminded group limit number complicated feature due project time constraint group discussion decide product feature decided include clapping locator function device allows user enter two number separately get twodigit number complicated function hidden back panel participant continue working remote function remote feature locator function responds clapping device allows user enter two number separately get twodigit number order reduce overall number button remote feature panel hide complicated function back device button adjust picture quality channel tuning setting hidden panel number pad channel volumechanging power button remain main interface group difficulty finding balance adding feature finishing project quickly
project manager reviewed minute last meeting industrial designer discussed option internal component showed size chip dependent type number additional feature used group discussed incorporating speech recognition function able decide chip size decided using speech recognition locator function would allow use simple chip user interface designer presented several existing product presented specialized childrens remote group decided focus basic remote would appeal wide market expressed button often ambiguously shaped remote must easytouse interface marketing expert presented trend remote control market fruit vegetable spongy material trend fashion group discussed way incorporate trend decided make standby button shaped like apple use rubber case button use singlecurved shape project manager instructed user interface designer industrial designer construct prototype user interface designer industrial designer construct prototype group decided use speech recognition locator function remote feature push button instead scroll button kinetic power supply remote contain simple chip group decided focus basic remote appeal widest market also decided market speech recognition component finder function confuse advanced speech recognition component remote control group decided make standby button shape apple remote also feature rubber case rubber button singlecurved design remote feature company logo possibly sticker form na,project manager reviewed minute last meeting industrial designer discussed option internal component showed size chip dependent type number additional feature used group discussed incorporating speech recognition function able decide chip size decided using speech recognition locator function would allow use simple chip user interface designer presented several existing product presented specialized childrens remote group decided focus basic remote would appeal wide market expressed button often ambiguously shaped remote must easytouse interface marketing expert presented trend remote control market fruit vegetable spongy material trend fashion group discussed way incorporate trend decided make standby button shaped like apple use rubber case button use singlecurved shape project manager instructed user interface designer industrial designer construct prototype user interface designer industrial designer construct prototype group decided use speech recognition locator function remote feature push button instead scroll button kinetic power supply remote contain simple chip group decided focus basic remote appeal widest market also decided market speech recognition component finder function confuse advanced speech recognition component remote control group decided make standby button shape apple remote also feature rubber case rubber button singlecurved design remote feature company logo possibly sticker form na   project manager reviewed minute last meeting industrial designer discussed option internal component showed size chip dependent type number additional feature used group discussed incorporating speech recognition function able decide chip size decided using speech recognition locator function would allow use simple chip user interface designer presented several existing product presented specialized childrens remote group decided focus basic remote would appeal wide market expressed button often ambiguously shaped remote must easytouse interface marketing expert presented trend remote control market fruit vegetable spongy material trend fashion group discussed way incorporate trend decided make standby button shaped like apple use rubber case button use singlecurved shape project manager instructed user interface designer industrial designer construct prototype user interface designer industrial designer construct prototype group decided use speech recognition locator function remote feature push button instead scroll button kinetic power supply remote contain simple chip group decided focus basic remote appeal widest market also decided market speech recognition component finder function confuse advanced speech recognition component remote control group decided make standby button shape apple remote also feature rubber case rubber button singlecurved design remote feature company logo possibly sticker form na
